date,freight_rate_usd_per_t,bdi_index,bunker_price_usd_per_t,port_congestion_days,demand_signal,is_monsoon,is_cyclone_season
2023-06-01,29.65,1404.0,530.9,5.64,62.9,1,0
2023-06-02,29.61,1408.0,530.9,5.36,63.0,1,0
2023-06-03,29.47,1418.4,531.3,5.15,63.1,1,0
2023-06-04,29.4,1435.7,533.2,5.81,63.3,1,0
2023-06-05,29.93,1439.0,533.8,5.97,63.4,1,0
2023-06-06,30.15,1442.3,534.2,5.45,63.5,1,0
2023-06-07,29.63,1460.1,533.0,5.75,63.6,1,0
2023-06-08,31.19,1471.3,534.2,6.89,63.7,1,0
2023-06-09,29.93,1472.7,535.3,6.25,63.8,1,0
2023-06-10,29.85,1482.1,538.3,5.06,63.9,1,0
2023-06-11,29.67,1483.5,538.2,5.36,64.0,1,0
2023-06-12,30.13,1484.9,538.8,5.6,64.1,1,0
2023-06-13,29.44,1491.9,539.4,5.71,64.2,1,0
2023-06-14,29.91,1481.6,541.6,5.76,64.3,1,0
2023-06-15,29.7,1472.8,541.8,5.92,64.3,1,0
2023-06-16,30.09,1473.3,542.4,5.62,64.4,1,0
2023-06-17,30.44,1470.2,543.4,5.68,64.5,1,0
2023-06-18,30.56,1477.7,543.9,6.29,64.6,1,0
2023-06-19,29.18,1475.4,543.7,5.83,64.6,1,0
2023-06-20,30.7,1469.0,544.1,5.23,64.7,1,0
2023-06-21,30.3,1485.6,545.7,5.72,64.7,1,0
2023-06-22,29.85,1488.6,544.7,5.6,64.8,1,0
2023-06-23,30.08,1494.0,545.1,5.09,64.8,1,0
2023-06-24,30.25,1487.4,544.4,5.75,64.8,1,0
2023-06-25,29.76,1487.7,546.1,5.26,64.9,1,0
2023-06-26,30.48,1493.3,544.4,6.3,64.9,1,0
2023-06-27,29.98,1488.8,543.9,5.91,64.9,1,0
2023-06-28,29.87,1496.5,544.6,5.22,65.0,1,0
2023-06-29,30.17,1496.2,546.6,6.26,65.0,1,0
2023-06-30,30.03,1498.5,546.7,6.68,65.0,1,0
2023-07-01,30.25,1498.2,546.2,5.55,65.0,1,0
2023-07-02,30.59,1517.5,548.6,5.6,65.0,1,0
2023-07-03,30.76,1521.8,547.0,6.18,65.0,1,0
2023-07-04,30.96,1517.7,544.5,6.59,65.0,1,0
2023-07-05,30.33,1528.6,545.1,5.12,65.0,1,0
2023-07-06,29.99,1523.1,544.6,5.25,65.0,1,0
2023-07-07,30.64,1529.0,543.5,5.48,64.9,1,0
2023-07-08,29.73,1517.5,544.4,5.52,64.9,1,0
2023-07-09,30.11,1511.0,544.8,6.16,64.9,1,0
2023-07-10,30.26,1516.7,544.2,6.6,64.9,1,0
2023-07-11,31.14,1526.6,542.7,6.68,64.8,1,0
2023-07-12,30.59,1531.9,543.8,5.12,64.8,1,0
2023-07-13,30.52,1534.9,544.6,5.33,64.7,1,0
2023-07-14,30.78,1536.3,544.5,5.41,64.7,1,0
2023-07-15,29.96,1528.3,546.7,5.33,64.6,1,0
2023-07-16,30.62,1526.2,545.5,5.91,64.6,1,0
2023-07-17,30.42,1526.2,543.6,5.99,64.5,1,0
2023-07-18,30.75,1538.3,542.8,5.67,64.5,1,0
2023-07-19,30.39,1544.5,542.7,5.62,64.4,1,0
2023-07-20,30.17,1533.9,543.0,5.49,64.3,1,0
2023-07-21,30.59,1539.9,542.7,5.54,64.2,1,0
2023-07-22,31.19,1540.1,543.0,6.88,64.1,1,0
2023-07-23,30.27,1538.0,541.5,6.1,64.1,1,0
2023-07-24,30.38,1546.1,543.1,5.51,64.0,1,0
2023-07-25,30.09,1557.5,543.0,5.61,63.9,1,0
2023-07-26,29.69,1568.0,544.2,5.93,63.8,1,0
2023-07-27,30.51,1564.2,544.5,5.22,63.7,1,0
2023-07-28,30.86,1564.7,545.0,5.74,63.6,1,0
2023-07-29,30.87,1570.1,545.5,6.05,63.4,1,0
2023-07-30,30.02,1580.7,546.0,5.96,63.3,1,0
2023-07-31,30.45,1579.6,546.6,5.34,63.2,1,0
2023-08-01,29.73,1580.7,548.0,5.39,63.1,1,0
2023-08-02,31.02,1574.4,548.1,5.08,62.9,1,0
2023-08-03,30.36,1567.2,548.8,6.13,62.8,1,0
2023-08-04,31.78,1576.1,548.5,7.41,62.7,1,0
2023-08-05,31.03,1589.3,550.1,5.3,62.5,1,0
2023-08-06,30.67,1590.9,549.1,6.41,62.4,1,0
2023-08-07,30.95,1601.1,551.1,7.28,62.2,1,0
2023-08-08,30.93,1606.0,550.8,5.45,62.1,1,0
2023-08-09,30.47,1602.8,548.9,5.61,61.9,1,0
2023-08-10,30.93,1607.6,548.8,5.81,61.8,1,0
2023-08-11,30.8,1621.7,547.7,5.94,61.6,1,0
2023-08-12,30.27,1623.1,548.5,5.84,61.5,1,0
2023-08-13,30.05,1637.3,547.5,5.48,61.3,1,0
2023-08-14,31.1,1617.9,546.7,6.04,61.1,1,0
2023-08-15,30.59,1625.9,544.1,5.49,60.9,1,0
2023-08-16,30.74,1628.0,543.3,5.88,60.8,1,0
2023-08-17,31.11,1626.9,540.1,5.65,60.6,1,0
2023-08-18,31.09,1628.9,537.9,5.11,60.4,1,0
2023-08-19,30.93,1614.1,538.5,6.55,60.2,1,0
2023-08-20,30.5,1613.4,539.2,5.4,60.0,1,0
2023-08-21,31.3,1617.2,539.4,6.66,59.8,1,0
2023-08-22,30.51,1629.9,537.9,6.37,59.6,1,0
2023-08-23,30.91,1626.5,537.5,5.79,59.4,1,0
2023-08-24,31.07,1620.7,537.1,5.97,59.2,1,0
2023-08-25,31.1,1617.3,535.4,6.06,59.0,1,0
2023-08-26,29.95,1625.1,536.8,5.57,58.8,1,0
2023-08-27,30.46,1628.2,537.5,5.59,58.6,1,0
2023-08-28,30.53,1624.3,536.9,6.02,58.4,1,0
2023-08-29,30.82,1628.6,536.5,5.66,58.2,1,0
2023-08-30,30.9,1629.6,536.3,5.49,58.0,1,0
2023-08-31,31.26,1637.4,533.5,5.34,57.7,1,0
2023-09-01,30.6,1631.7,532.8,5.9,57.5,1,0
2023-09-02,30.37,1629.0,531.5,5.39,57.3,1,0
2023-09-03,31.28,1625.7,529.9,6.22,57.1,1,0
2023-09-04,30.89,1613.7,529.1,6.29,56.8,1,0
2023-09-05,31.19,1615.7,530.9,5.97,56.6,1,0
2023-09-06,30.85,1617.3,531.2,6.12,56.4,1,0
2023-09-07,30.21,1616.8,530.0,5.97,56.1,1,0
2023-09-08,30.19,1614.3,530.2,6.17,55.9,1,0
2023-09-09,30.03,1602.2,531.5,6.14,55.7,1,0
2023-09-10,30.79,1598.0,532.1,5.87,55.4,1,0
2023-09-11,31.15,1594.4,531.7,6.39,55.2,1,0
2023-09-12,31.06,1587.0,530.4,5.59,54.9,1,0
2023-09-13,30.55,1584.6,530.7,5.35,54.7,1,0
2023-09-14,30.69,1586.7,530.7,5.34,54.5,1,0
2023-09-15,30.15,1600.5,531.2,5.52,54.2,1,0
2023-09-16,29.76,1600.5,531.5,5.09,54.0,1,0
2023-09-17,30.82,1601.2,532.2,5.78,53.7,1,0
2023-09-18,30.72,1599.1,531.0,6.07,53.5,1,0
2023-09-19,30.58,1582.1,532.1,6.28,53.2,1,0
2023-09-20,30.28,1580.2,531.8,5.13,53.0,1,0
2023-09-21,30.34,1579.0,533.7,5.35,52.7,1,0
2023-09-22,31.11,1596.8,532.3,6.19,52.4,1,0
2023-09-23,30.9,1593.3,533.8,5.57,52.2,1,0
2023-09-24,30.76,1593.7,533.5,6.05,51.9,1,0
2023-09-25,30.54,1591.4,532.1,5.21,51.7,1,0
2023-09-26,30.82,1579.8,531.0,6.65,51.4,1,0
2023-09-27,29.93,1586.7,530.0,5.19,51.2,1,0
2023-09-28,30.63,1590.4,529.9,5.77,50.9,1,0
2023-09-29,29.79,1594.3,529.9,5.78,50.6,1,0
2023-09-30,30.56,1584.6,528.6,5.44,50.4,1,0
2023-10-01,28.76,1593.2,528.0,4.44,50.1,0,1
2023-10-02,29.31,1579.4,529.9,4.46,49.9,0,1
2023-10-03,28.88,1581.3,531.4,4.39,49.6,0,1
2023-10-04,29.35,1596.1,531.2,3.94,49.4,0,1
2023-10-05,29.01,1585.3,530.7,3.87,49.1,0,1
2023-10-06,28.36,1577.8,530.2,3.98,48.8,0,1
2023-10-07,29.09,1575.6,530.2,3.83,48.6,0,1
2023-10-08,29.0,1568.4,528.4,4.93,48.3,0,1
2023-10-09,29.15,1552.9,527.4,4.01,48.1,0,1
2023-10-10,28.82,1550.2,524.7,4.25,47.8,0,1
2023-10-11,29.06,1538.4,524.6,4.69,47.6,0,1
2023-10-12,28.22,1538.8,524.7,3.81,47.3,0,1
2023-10-13,28.25,1528.0,523.4,3.69,47.0,0,1
2023-10-14,28.41,1536.9,524.6,3.83,46.8,0,1
2023-10-15,29.02,1527.1,522.5,4.31,46.5,0,1
2023-10-16,29.26,1520.9,520.0,4.27,46.3,0,1
