unique_id,ds,cutoff,y,Naive,SeasonalNaive,AutoARIMA,AutoETS,Theta
ECI_PANAMAX,2025-08-25,2025-08-24,30.18,30.14,30.42,30.129039693484287,30.109008221766885,30.10000249709873
ECI_PANAMAX,2025-08-26,2025-08-24,30.93,30.14,29.69,30.050264634092446,30.115496111480024,30.128416197889468
ECI_PANAMAX,2025-08-27,2025-08-24,29.5,30.14,29.58,30.03839441966354,30.121852870101105,30.047192375440243
ECI_PANAMAX,2025-08-28,2025-08-24,29.71,30.14,30.6,30.14846368073159,30.1280811480086,30.02648222764172
ECI_PANAMAX,2025-08-29,2025-08-24,30.37,30.14,29.94,30.077242394158148,30.13418354201243,30.19488976931757
ECI_PANAMAX,2025-08-30,2025-08-24,30.73,30.14,30.07,30.09127082939231,30.140162596436625,30.079108227076873
ECI_PANAMAX,2025-08-31,2025-08-24,30.47,30.14,30.14,30.098824602210705,30.146020804180186,30.064854538701184
ECI_PANAMAX,2025-09-01,2025-08-31,30.8,30.47,30.18,30.39521445480864,30.37798661696206,30.396918878118715
ECI_PANAMAX,2025-09-02,2025-08-31,30.11,30.47,30.93,30.474881588476972,30.39033094447794,30.431402728702103
ECI_PANAMAX,2025-09-03,2025-08-31,30.56,30.47,29.5,30.32298292028269,30.402428324793362,30.337061253563196
ECI_PANAMAX,2025-09-04,2025-08-31,30.76,30.47,29.71,30.34528971770982,30.41428369806563,30.31783471623601
ECI_PANAMAX,2025-09-05,2025-08-31,29.72,30.47,30.37,30.41539679533795,30.425901905624638,30.490573238997907
ECI_PANAMAX,2025-09-06,2025-08-31,30.17,30.47,30.73,30.45363701949875,30.437287691949887,30.374356752508902
ECI_PANAMAX,2025-09-07,2025-08-31,30.81,30.47,30.47,30.42601907982706,30.448445706607995,30.360896523118992
ECI_PANAMAX,2025-09-08,2025-09-07,30.13,30.81,30.8,30.481442670701583,30.45204725287736,30.450121268309484
ECI_PANAMAX,2025-09-09,2025-09-07,30.9,30.81,30.11,30.41131064132727,30.462593430453715,30.479413864011402
ECI_PANAMAX,2025-09-10,2025-09-07,30.23,30.81,30.56,30.457048921353994,30.47292854497641,30.390304261063505
ECI_PANAMAX,2025-09-11,2025-09-07,30.66,30.81,30.76,30.477377045810318,30.483056820498412,30.37258556284456
ECI_PANAMAX,2025-09-12,2025-09-07,30.59,30.81,29.72,30.371670798637442,30.492982396535744,30.541440886528864
ECI_PANAMAX,2025-09-13,2025-09-07,29.81,30.81,30.17,30.417409078664168,30.50270932975936,30.430223194550955
ECI_PANAMAX,2025-09-14,2025-09-07,29.51,30.81,30.81,30.4824590769244,30.512241595653126,30.413400914186436
ECI_PANAMAX,2025-09-15,2025-09-14,30.17,29.51,30.13,29.95710448586909,30.072966591076824,29.99300830382438
ECI_PANAMAX,2025-09-16,2025-09-14,30.61,29.51,30.9,30.032332494497957,30.06834535100039,30.027040998709058
ECI_PANAMAX,2025-09-17,2025-09-14,29.98,29.51,30.23,29.96687435711959,30.06381653572548,29.934963520903516
ECI_PANAMAX,2025-09-18,2025-09-14,30.19,29.51,30.66,30.008884803496752,30.05937829675607,29.922848716247053
ECI_PANAMAX,2025-09-19,2025-09-14,30.57,29.51,30.59,30.0020458936214,30.05502882256605,30.07948391472984
ECI_PANAMAX,2025-09-20,2025-09-14,30.47,29.51,29.81,29.925840897867477,30.05076633785983,29.97376582157052
ECI_PANAMAX,2025-09-21,2025-09-14,29.92,29.51,29.51,29.89653128411597,30.046589102847733,29.963122841837794
ECI_PANAMAX,2025-09-22,2025-09-21,30.18,29.92,30.17,30.2240641971973,30.222873046391328,30.216748377781624
ECI_PANAMAX,2025-09-23,2025-09-21,30.41,29.92,30.61,30.26795098077103,30.222974523311535,30.25453714030077
ECI_PANAMAX,2025-09-24,2025-09-21,31.13,29.92,29.98,30.205113086108643,30.223073970188082,30.156585729215287
ECI_PANAMAX,2025-09-25,2025-09-21,30.74,29.92,30.19,30.226059050996106,30.223171427631954,30.14583189737996
ECI_PANAMAX,2025-09-26,2025-09-21,30.6,29.92,30.57,30.263961273173418,30.223266935441703,30.305797271529098
ECI_PANAMAX,2025-09-27,2025-09-21,29.9,29.92,30.47,30.25398700417939,30.22336053261973,30.194073098360164
ECI_PANAMAX,2025-09-28,2025-09-21,29.56,29.92,29.92,30.199128524712226,30.22345225738817,30.181347458611132
ECI_PANAMAX,2025-09-29,2025-09-28,29.96,29.56,30.18,30.06079098144807,30.14175989842731,30.069347262270554
ECI_PANAMAX,2025-09-30,2025-09-28,29.95,29.56,30.41,30.083745110074613,30.137380554132722,30.108563869449835
ECI_PANAMAX,2025-10-01,2025-09-28,28.43,29.56,31.13,30.155601512731618,30.13308880468735,30.018513150505022
ECI_PANAMAX,2025-10-02,2025-09-28,28.98,29.56,30.74,30.11667929462574,30.128882898034924,30.005218221396177
ECI_PANAMAX,2025-10-03,2025-09-28,29.24,29.56,30.6,30.10270721633132,30.124761117163487,30.162513410545284
ECI_PANAMAX,2025-10-04,2025-09-28,29.11,29.56,29.9,30.03284682485923,30.12072177940445,30.051740717241135
ECI_PANAMAX,2025-10-05,2025-09-28,29.55,29.56,29.56,29.998914634715646,30.11676323574566,30.033398555739534
ECI_PANAMAX,2025-10-06,2025-10-05,29.57,29.55,29.96,29.31855402032194,29.27209618648234,29.341229407975046
ECI_PANAMAX,2025-10-07,2025-10-05,28.75,29.55,29.95,29.317632765113235,29.24668280384262,29.380743786025562
ECI_PANAMAX,2025-10-08,2025-10-05,28.68,29.55,28.43,29.17760197338978,29.221868395057356,29.28211908919397
ECI_PANAMAX,2025-10-09,2025-10-05,29.12,29.55,28.98,29.228271009868664,29.197638842774158,29.273816617122908
ECI_PANAMAX,2025-10-10,2025-10-05,30.01,29.55,29.24,29.252223645295043,29.17398036237574,29.431000852978976
ECI_PANAMAX,2025-10-11,2025-10-05,29.31,29.55,29.11,29.24024732758185,29.150879494137648,29.318777718993733
ECI_PANAMAX,2025-10-12,2025-10-05,28.82,29.55,29.55,29.280782556764958,29.128323095570757,29.3014226609299
ECI_PANAMAX,2025-10-13,2025-10-12,28.76,28.82,29.57,29.18496100999255,29.11243374445399,29.177492189623152
ECI_PANAMAX,2025-10-14,2025-10-12,30.17,28.82,28.75,29.10836233428929,29.09116329118946,29.208953094351113
ECI_PANAMAX,2025-10-15,2025-10-12,28.53,28.82,28.68,29.101823422948765,29.070318350895466,29.110935024116575
ECI_PANAMAX,2025-10-16,2025-10-12,28.8,28.82,29.12,29.142925151374904,29.049890411233985,29.107194350583164
ECI_PANAMAX,2025-10-17,2025-10-12,29.35,28.82,30.01,29.226062738418687,29.029871130155335,29.262561411336943
ECI_PANAMAX,2025-10-18,2025-10-12,29.69,28.82,29.31,29.160673625013466,29.01025233249158,29.152272807356848
ECI_PANAMAX,2025-10-19,2025-10-12,30.12,28.82,28.82,29.11490124562981,28.991026006618075,29.138487587145065
ECI_PANAMAX,2025-10-20,2025-10-19,29.6,30.12,28.76,29.58958178825271,29.517643522222265,29.64207373823875
ECI_PANAMAX,2025-10-21,2025-10-19,29.12,30.12,30.17,29.71730435597852,29.51512673324401,29.686172505586633
ECI_PANAMAX,2025-10-22,2025-10-19,28.42,30.12,28.53,29.56874761053857,29.512660280235497,29.573532284436933
ECI_PANAMAX,2025-10-23,2025-10-19,28.89,30.12,28.8,29.593205123507342,29.510243156473535,29.570531638781546
