date,current_rate,pred_p10,pred_p50,pred_p90,actual_future_rate,decision,confidence,expected_savings_per_t,uncertainty_pct,reasons
2025-08-12,29.57,29.640879847108707,30.133280034020324,31.184065602720395,29.69,BUY NOW,High,-0.56,5.2,Current $29.57 at/below forecast floor P10=$29.64.
2025-08-13,30.3,29.71131632476984,30.286361927941222,31.062105916441098,29.58,BUY NOW,Medium,0.01,4.5,Only $0.01/t expected savings — below threshold.
2025-08-14,30.07,29.677050806581363,30.2577555131463,31.123381398618832,30.6,BUY NOW,Medium-High,-0.19,4.8,Model expects rates to rise: P50 $30.26 vs current $30.07.
2025-08-15,30.26,29.81178782135187,30.433391804650206,31.240381978452817,29.94,BUY NOW,Medium-High,-0.17,4.7,Model expects rates to rise: P50 $30.43 vs current $30.26.
2025-08-16,30.48,29.682545877992496,30.294264073326964,31.294537328184262,30.07,WAIT,Medium-High,0.19,5.3,P50 $30.29 below current $30.48 — $0.19/t expected savings.
2025-08-17,29.77,29.716326929628238,30.31508087630548,31.191601537168637,30.14,BUY NOW,Medium-High,-0.55,5.0,Model expects rates to rise: P50 $30.32 vs current $29.77.
2025-08-18,30.42,29.736291147767886,30.455364460900206,31.37518956512274,30.18,BUY NOW,Medium,-0.04,5.4,Only $-0.04/t expected savings — below threshold.
2025-08-19,29.69,29.729710794984683,30.413391346886534,31.167286656797543,30.93,BUY NOW,High,-0.72,4.8,Current $29.69 at/below forecast floor P10=$29.73.
2025-08-20,29.58,29.72209284454523,30.439678425743956,31.318571828306332,29.5,BUY NOW,High,-0.86,5.4,Current $29.58 at/below forecast floor P10=$29.72.
2025-08-21,30.6,29.680918909608707,30.3732283067254,31.176348470152035,29.71,WAIT,Medium-High,0.23,4.9,P50 $30.37 below current $30.60 — $0.23/t expected savings.
2025-08-22,29.94,29.64495775848566,30.389833683922667,31.150667928159848,30.37,BUY NOW,Medium-High,-0.45,5.0,Model expects rates to rise: P50 $30.39 vs current $29.94.
2025-08-23,30.07,29.531897760927066,30.280727620079894,31.255081914365903,30.73,BUY NOW,Medium-High,-0.21,5.7,Model expects rates to rise: P50 $30.28 vs current $30.07.
2025-08-24,30.14,29.440615870057925,30.20008301253595,31.141354344785825,30.47,BUY NOW,Medium,-0.06,5.6,Only $-0.06/t expected savings — below threshold.
2025-08-25,30.18,29.503995157777652,30.34433769698419,31.163050435484067,30.8,BUY NOW,Medium-High,-0.16,5.5,Model expects rates to rise: P50 $30.34 vs current $30.18.
2025-08-26,30.93,29.5033294931048,30.219566578820128,31.203581593931332,30.11,WAIT,High,0.71,5.5,Model predicts $0.71/t drop (P50=$30.22 vs current $30.93).
2025-08-27,29.5,29.675811029970035,30.470440144493956,31.108437322080746,30.56,BUY NOW,High,-0.97,4.9,Current $29.50 at/below forecast floor P10=$29.68.
2025-08-28,29.71,29.675545908510074,30.474373097374816,31.167002461851254,30.76,BUY NOW,Medium-High,-0.76,5.0,Model expects rates to rise: P50 $30.47 vs current $29.71.
2025-08-29,30.37,29.53033373504816,30.467396016075988,31.044409535825864,29.72,BUY NOW,Medium,-0.1,5.0,Only $-0.10/t expected savings — below threshold.
2025-08-30,30.73,29.63276407867609,30.425136799767394,31.106768392027035,30.17,WAIT,Medium-High,0.3,4.8,P50 $30.43 below current $30.73 — $0.30/t expected savings.
2025-08-31,30.47,29.67783472686945,30.352449650719542,31.24379422515692,30.81,BUY NOW,Medium,0.12,5.1,Only $0.12/t expected savings — below threshold.
2025-09-01,30.8,29.79090616851984,30.645277256920714,31.36521413177313,30.13,WAIT,Medium-High,0.15,5.1,P50 $30.65 below current $30.80 — $0.15/t expected savings.
2025-09-02,30.11,29.814183451234683,30.56945633406915,31.240389607847348,30.9,BUY NOW,Medium-High,-0.46,4.7,Model expects rates to rise: P50 $30.57 vs current $30.11.
2025-09-03,30.56,29.62395403534113,30.373399968102355,31.14127042144598,30.23,WAIT,Medium-High,0.19,5.0,P50 $30.37 below current $30.56 — $0.19/t expected savings.
2025-09-04,30.76,29.73031923919855,30.436132664635558,31.26239659637274,30.66,WAIT,Medium-High,0.32,5.0,P50 $30.44 below current $30.76 — $0.32/t expected savings.
2025-09-05,29.72,29.75200007110773,30.532181019738097,31.392187856138364,30.59,BUY NOW,High,-0.81,5.5,Current $29.72 at/below forecast floor P10=$29.75.
